r,sy,su,Order,Fit_y1,Fit_y2,Stable,Controllable,Observable
10,40,40,12,75.74707661587,45.7986361348042,1,1,1
5,10,10,8,72.8186966334422,45.788519612551,1,1,1
10,40,40,14,76.9946252716926,45.7313229658102,1,1,1
5,10,10,14,70.0763190147318,45.6951193942294,1,1,1
10,40,40,10,81.6687605008445,45.6560382312126,1,1,1
20,40,40,24,77.1190800783712,45.6233949788002,1,1,1
20,40,40,16,77.4048824218634,45.6056538446974,1,1,1
20,30,30,16,74.9308349471141,45.5577068507473,1,1,1
5,10,10,6,71.0957690670148,45.5560090022093,1,1,1
10,30,30,6,78.9006119936544,45.5538850128124,1,1,1
20,40,40,18,76.9299500186747,45.5482506372897,1,1,1
20,30,30,6,70.679643875018,45.544971941656,1,1,1
20,40,40,10,71.7214536713009,45.5118449903862,1,1,1
30,60,60,18,76.0705820462381,45.4398549017579,1,1,1
10,20,20,6,92.5035597182898,45.3796528664762,1,1,1
20,60,60,20,82.1471113315557,45.3564934668613,1,1,1
10,40,40,8,69.1556847671986,45.329429864757,1,1,1
20,40,40,12,92.3367232934617,45.3081045008781,1,1,1
30,100,100,6,72.779110960232,45.2496079418814,1,1,1
20,40,40,20,88.4658408611272,45.2091676971293,1,1,1
20,60,60,10,71.399341655729,45.1844714508223,1,1,1
30,100,100,18,83.7251365301339,45.1714032463934,1,1,1
30,100,100,8,72.8353473809445,45.1506879435838,1,1,1
20,30,30,8,72.5215646220873,45.0957649527536,1,1,1
30,60,60,16,84.4888684318408,45.0907148704743,1,1,1
20,40,40,8,71.265814407926,45.0852332147977,1,1,1
20,40,40,22,95.9399048466095,45.0428345887,1,1,1
30,60,60,20,93.3749071876454,45.0405545054289,1,1,1
10,40,40,16,77.7552455784792,44.9839446255473,1,1,1
30,60,60,12,92.9706404261802,44.9724563695398,1,1,1
30,100,100,10,71.8368304925108,44.9510746792362,1,1,1
30,60,60,10,72.6307557777153,44.9171106436187,1,1,1
20,40,40,6,72.0079907299104,44.8673965337433,1,1,1
10,20,20,18,68.8880656205741,44.8377407429264,1,1,1
30,60,60,8,73.1256995956863,44.8178461288871,1,1,1
20,30,30,14,74.306899425688,44.7944051618268,1,1,1
20,30,30,18,71.6008572669452,44.7734372217824,1,1,1
30,60,60,14,75.3109062159618,44.672761694559,1,1,1
20,40,40,14,75.9908376036402,44.6662003694773,1,1,1
20,30,30,22,94.1456103026008,44.6642489584551,1,1,1
30,100,100,16,95.1350879908727,44.6190187537849,1,1,1
20,60,60,8,73.3890392991822,44.6170139688477,1,1,1
10,20,20,22,81.6045406042369,44.5967153846465,1,1,1
30,60,60,22,76.3883403375894,44.5823679093336,1,1,1
30,100,100,14,89.4259222639804,44.5381820396321,1,1,1
20,60,60,6,74.6865879828756,44.5132929067262,1,1,1
20,60,60,16,74.5732405503063,44.4753156195757,1,1,1
30,60,60,24,76.2065330556964,44.4581210087207,1,1,1
20,60,60,14,74.0312391803127,44.2521189582657,1,1,1
30,100,100,12,71.4540393535211,44.1797588861166,1,1,1
10,20,20,20,86.0877757387717,44.1462724184441,1,1,1
5,10,10,10,72.0811598383729,44.0859456294345,1,1,1
5,10,10,12,62.4421435868923,44.0752085600943,1,1,1
30,60,60,6,72.731866916936,44.0664655895896,1,1,1
10,20,20,10,74.1778826405414,44.0121420807383,1,1,1
5,10,10,20,81.397588911188,43.9249242980697,1,1,1
20,60,60,12,72.693175727171,43.780153349258,1,1,1
10,30,30,16,83.6044980774736,43.5555183382467,1,1,1
10,40,40,20,80.4097338280746,43.4772235321835,1,1,1
20,60,60,18,75.3510826052946,43.450120446161,1,1,1
20,30,30,12,77.4441595825261,43.3764415540997,1,1,1
10,40,40,6,71.2899363081691,43.3667404791954,1,1,1
30,100,100,20,78.4324364501404,43.242446356508,1,1,1
10,40,40,18,82.931681572896,43.2271647454635,1,1,1
10,20,20,16,83.1495857310169,43.0154392735843,1,1,1
10,30,30,10,78.1070361734674,42.9275325638924,1,1,1
5,10,10,18,76.7826183134787,42.8767620329137,1,1,1
10,30,30,8,89.0730225260322,42.7964179170415,1,1,1
20,30,30,10,76.0248662640009,42.7946062057819,1,1,1
30,100,100,22,80.0144023107083,42.5106477763282,1,1,1
10,20,20,14,73.1667304749371,42.5060640697932,1,1,1
10,20,20,8,73.4922381714618,42.0517902972274,1,1,1
10,20,20,12,85.6760167000809,41.7296267076915,1,1,1
20,30,30,20,87.6759729024283,41.4411396207585,1,1,1
30,100,100,24,72.4726510408293,41.3885554862455,1,1,1
5,10,10,16,69.7391157802413,40.47488265018,1,1,1
5,10,10,22,87.8045319480848,39.1965797582649,1,1,1
10,40,40,24,89.8851707288881,37.7883451676709,1,1,1
10,30,30,14,85.4368921114133,36.8716768388072,1,1,1
10,40,40,22,87.6572282903849,36.7766165837175,1,1,1
10,30,30,18,92.90667029861,36.467478856454,1,1,1
10,30,30,12,86.1707321481449,33.135870908361,1,1,1
20,60,60,22,82.2041068074254,29.7419496144257,1,1,1
20,60,60,24,89.576574880703,29.7334833852873,1,1,1
10,20,20,24,90.5661700921953,18.0539325835144,1,1,1
20,30,30,24,90.6356411089119,16.5242389616849,1,1,1
10,30,30,20,89.6182721526154,45.137481586665,1,1,0
5,10,10,24,89.6373584180454,44.7631932318716,1,1,0
10,30,30,22,94.4852183332815,41.9723913776618,1,1,0
10,30,30,24,76.7184988419715,41.9484611444535,1,1,0
