Idx,r,sy,su,Order,Fit_y1,Fit_y2,Stable,Controllable,Observable,CtrbCond,ObsvCond,HasNegRealPole,MinTimeConst_s,MaxTimeConst_s,Score
9,10,20,20,6,88.6784481531084,45.3260293769444,1,1,1,72257.7546889509,987.938953321681,0,1.54174205251239,103.430396772621,0.981971009637282
40,20,40,40,12,88.2063286633653,45.2812410668983,1,1,1,9645310.58673501,83143.8084802427,1,1.29586378907164,126.73374422883,0.976334348659411
63,30,100,100,16,89.6985557066553,44.6222000989027,1,1,1,21348274.2995267,218794.273204657,1,0.837337867212125,110.485809249213,0.963256355015892
54,30,60,60,12,81.0465747596075,44.8721532903174,1,1,1,19212504.9236172,121729.722385507,1,0.402315524687084,234.893608210256,0.901277564030692
17,10,30,30,8,86.2902303963848,42.5734259192077,1,1,1,2509187.09053508,966637.571690383,0,0.602841349631191,103.287263824179,0.855982744757562
21,10,30,30,16,81.5303070048709,43.0603778306503,1,1,1,487962343.316856,261891447.588337,1,0.521348628652838,93.6778503011705,0.835369053307298
62,30,100,100,14,73.5725946753146,44.5311924495066,1,1,1,12635331.6172487,254054.7164397,1,1.13493562570701,110.519753909253,0.826248399546435
28,10,40,40,16,74.0079882445559,44.3286722999807,1,1,1,24083850.1926354,30065.1871646971,1,1.39643852859654,116.077673359184,0.822037862396433
25,10,40,40,10,62.6635752859134,45.574401054577,1,1,1,20044566.5776217,10431.5338117847,1,1.09421962130776,114.337741174162,0.776195318800506
12,10,20,20,12,81.3327819174965,41.3349625616157,1,1,1,2088899.35954779,69212.7313309569,1,0.567626849882321,141.556758453415,0.767153342159245
16,10,30,30,6,62.0947855517075,45.2364323527057,1,1,1,54639.2094929938,1003.21844655055,0,1.56734348688198,113.285598827577,0.758445108736161
35,20,30,30,16,63.3871088575452,44.8333547671581,1,1,1,5044179.52726086,536882.53311619,1,0.703647616037277,114.952500084615,0.753589390350735
44,20,60,60,6,69.4188125771532,43.2971776206529,1,1,1,22676684.6857557,20959.0553756968,1,0.987673663765181,155.626425024976,0.744243678519222
27,10,40,40,14,59.4537550927849,45.3439695189657,1,1,1,21221782.9265949,36432.5541065711,1,1.75869110796397,103.462910938451,0.740731425430342
34,20,30,30,14,67.0779715009103,43.6781758845854,1,1,1,9150352.28797041,1071850.67339162,1,1.74380409319195,111.895130124303,0.739567413836619
49,20,60,60,16,68.6474426816064,43.3389482591967,1,1,1,12774659.1462169,312213.570665987,1,1.04756133246976,107.738973022731,0.739469868924477
33,20,30,30,12,73.3171003285244,42.3042347211671,1,1,1,32209615.6425532,376493.664552922,1,0.752729605486222,110.932310198599,0.738199218595515
26,10,40,40,12,59.0335677376928,45.3327228062011,1,1,1,7987659.60164032,82611.3599524538,1,1.46305485881631,108.426968409521,0.736818983358452
56,30,60,60,16,60.1742152887842,45.0785923508569,1,1,1,5616049.22875181,342358.087358521,0,0.643324427932751,118.214565274236,0.736455231718413
18,10,30,30,10,74.4383144393643,41.81347110557,1,1,1,4045151.34156377,151585.726964242,0,0.676440812946562,114.872989469585,0.72854336154215
45,20,60,60,8,67.0707237878723,43.3573753948982,1,1,1,5081401.75880064,28554.6580444769,0,1.56909225161346,149.525210452158,0.727128326951161
48,20,60,60,14,67.8327329435803,42.9615135625087,1,1,1,5603398.86622917,179465.821100612,1,1.64508928393382,100.598258472121,0.718160931616875
52,30,60,60,8,63.8259870766479,43.480122520464,1,1,1,2014464.58999692,57096.7178599384,1,2.02340953508162,144.045155570196,0.705003883522981
2,5,10,10,6,59.2840909908673,44.3870124714966,1,1,1,169510.359585822,965.290435202349,0,1.33994953603262,131.544324442281,0.702399715176027
51,30,60,60,6,66.9534241968428,42.6510786953623,1,1,1,6728769.25804577,27071.1469650042,1,1.61844826147926,137.902933955259,0.69890261941874
32,20,30,30,10,72.0703243594648,41.4538284836725,1,1,1,67135558.2754673,239080.585529411,0,0.452860464789608,109.976673329264,0.695062408687684
37,20,40,40,6,62.9998151738162,43.3755909853269,1,1,1,1250440.5433012,26181.2555843805,1,1.29527408882456,162.427531093466,0.694130878567101
42,20,40,40,16,53.6638544599227,45.2824983510845,1,1,1,2882313.17599882,377311.092914741,1,0.240268299245522,108.270556876205,0.690428619443726
53,30,60,60,10,61.8460793946679,43.5205365833745,1,1,1,13263731.5908063,54250.1737122933,1,0.705727857105395,146.587716041412,0.690173043040004
6,5,10,10,14,56.904388077504,44.5021015018847,1,1,1,21587748.5969785,15933.4379868952,1,0.287852171696213,113.809208054522,0.687140801624906
38,20,40,40,8,60.6623134542293,43.6591293030101,1,1,1,10298361.9868176,37907.4876891121,1,1.02941530086297,153.440230517947,0.685721462078696
59,30,100,100,8,59.7120799509718,43.8551768112418,1,1,1,7693233.33271415,74436.2828422777,1,0.273314592261876,144.738831345911,0.685420213645844
14,10,20,20,16,64.1934265842371,42.6882399999147,1,1,1,29872803.2755625,18023.4963097592,1,0.631197480659682,684.528382017798,0.677488413697261
4,5,10,10,10,64.2854992092194,42.5940232939385,1,1,1,3706561.08539806,7965.73496066463,0,0.662483700556551,113.807623314112,0.674614976343611
60,30,100,100,10,60.0081282741086,43.4814827086143,1,1,1,1356418.04359282,68135.642816591,1,0.313107089403148,141.438582409595,0.673450848489677
39,20,40,40,10,55.8246248951642,44.3169549266492,1,1,1,5093633.05061059,52426.6889218705,1,1.06974578215015,144.680193428001,0.67105769971201
58,30,100,100,6,55.2322508551296,44.1300518693746,1,1,1,663187.023799087,51548.3561024068,0,0.508511624285841,146.398968799266,0.658941590073968
46,20,60,60,10,56.8312317746624,43.7607610497209,1,1,1,3561964.54179823,36411.731194133,1,0.515330624440604,141.771355445336,0.657928254571879
23,10,40,40,6,65.2718434152311,41.7835772410159,1,1,1,2579307.20672633,17638.5158866181,1,2.30120416181605,218.635058690483,0.651506676419709
13,10,20,20,14,69.013955355063,40.9597525034807,1,1,1,3062594.70120041,13248.3244164989,1,0.844492205154548,102.941575736922,0.650695292453045
3,5,10,10,8,48.8348855201295,45.1551868836711,1,1,1,4837487.88122078,4157.83222828582,0,0.706469928355075,100.869691268399,0.645540076538809
15,10,30,30,4,66.4328429200493,41.2024682684537,1,1,1,13212.7027154117,425.243739652019,0,1.57289361548987,247.805244812067,0.63869391877002
24,10,40,40,8,53.7901412751566,43.7878691987148,1,1,1,63701362.6509657,12466.875191613,1,0.893656112549232,187.747352063571,0.633799134802839
47,20,60,60,12,62.368747695096,41.9240470840954,1,1,1,8284415.85661004,46833.296595115,1,1.53277685386899,166.802439101036,0.632894338634879
31,20,30,30,8,52.2727538816505,43.8032904622707,1,1,1,4226274.08246193,89466.1277042319,0,2.37338565155261,138.148910182151,0.621832768032759
22,10,40,40,4,63.857243009227,41.2694999810619,1,1,1,13218.9399337254,425.846855677838,0,1.58182119578431,250.690882890633,0.619958862281015
30,20,30,30,6,49.4945774248902,44.230116689422,1,1,1,1902289.01376353,26361.1438762118,1,1.27457639437873,178.161582086251,0.615304508603673
43,20,60,60,4,57.2172916559217,42.5056543489721,1,1,1,9007.854478,491.133765871588,0,2.545226325283,168.140072671337,0.612691980105801
61,30,100,100,12,58.2567742880649,42.2063346721118,1,1,1,4556147.19735925,118193.790813642,0,0.50964818841716,155.567459088457,0.609746984050747
8,10,20,20,4,62.3264585213588,41.3167993288581,1,1,1,12558.337542898,421.854389572434,0,1.56526956727593,241.337417814531,0.609111705195906
41,20,40,40,14,49.9379640696964,43.9686149720945,1,1,1,10229954.689395,172719.07069386,1,1.64889483542752,102.157916769928,0.608884152996466
10,10,20,20,8,66.4473267687519,40.0314992969776,1,1,1,1152881.31605155,1668.74085099222,0,0.587865903773434,188.503638733967,0.593628329466246
11,10,20,20,10,55.247048102833,42.3704834978456,1,1,1,3242503.22403545,6666.44161635611,0,0.793429303180554,190.809274596715,0.591165650761736
55,30,60,60,14,48.5347443912635,43.7269170344598,1,1,1,7944027.46328686,185060.528084389,1,0.399786799293674,129.600696710326,0.587941158401484
20,10,30,30,14,82.5203121169849,36.1798725386557,1,1,1,69089829.8839106,11077717.9017405,1,1.11287313414605,271.351500506774,0.578058883728304
1,5,10,10,4,59.1545054569657,41.1832234113809,1,1,1,18215.9202395657,404.004247854028,0,1.2052571744589,371.255935555132,0.577698764922014
36,20,40,40,4,52.2199623712884,42.3721572317857,1,1,1,9035.05098557858,505.41496485698,0,2.60315798839384,174.150357222649,0.566171000916075
50,30,60,60,4,51.6987154616844,42.4816629549803,1,1,1,6600.63800689765,519.72072203095,0,3.57841846076058,137.952262429268,0.566081563305389
57,30,100,100,4,50.6722604973049,42.656967026214,1,1,1,7161.5114990916,516.191154066631,0,3.19492041250814,140.93937512751,0.564348877682349
29,20,30,30,4,51.8470562429083,42.3659342851421,1,1,1,8610.5970279298,476.702530031552,0,2.57211293133575,175.998379891066,0.562843826468236
19,10,30,30,12,85.2520603065193,32.6170453528472,1,1,1,11469365.2975617,29624.8308585102,1,0.932098623703791,377.351218484146,0.463190412199487
7,5,10,10,16,55.1642348732464,37.5022631707643,1,1,1,36281012.8547109,8134669.34636301,1,0.948079965167762,302.575630243162,0.402624623524227
5,5,10,10,12,29.299952165732,41.2521751947913,1,1,1,1811745.90272386,101078.6779324,1,0.508024343231066,292.80045251396,0.333213428755041
