r,sy,su,Order,Fit_y1,Fit_y2,Stable
20,40,40,6,71.5237986632848,44.3603674515131,1
10,40,40,8,70.0937295898798,44.3596535810268,1
20,60,60,6,71.9918608142185,44.3257607478052,1
30,60,60,6,71.8607320588752,44.2956825978696,1
10,40,40,6,71.5791527150917,44.1461610762957,1
20,60,60,8,73.1241007269645,44.0332632209167,1
5,10,10,6,72.12264618588,43.9525399220651,1
30,100,100,6,75.7260791209212,43.9478518208342,1
20,30,30,6,75.4399019916952,43.8843925057785,1
20,40,40,8,75.0516574072174,43.8818432892478,1
30,60,60,8,74.8953830557403,43.8796347263346,1
5,10,10,22,72.993694959807,43.8192976197699,1
30,100,100,8,77.4912189256878,43.7503946652208,1
10,40,40,10,71.8568292040383,43.7300799440604,1
10,20,20,6,74.4764299556033,43.7106270990802,1
5,10,10,8,71.4845785849037,43.6299794003677,1
5,10,10,18,69.5759633110399,43.5857109058476,1
20,40,40,12,75.756198489985,43.5675857587855,1
20,60,60,22,74.6333642351514,43.5441239155261,1
5,10,10,10,72.4797761184634,43.5324539060403,1
30,100,100,10,79.005658653601,43.5305170791634,1
20,40,40,14,72.6175596318883,43.5279002589022,1
10,20,20,16,74.7505046399948,43.5198741154607,1
20,60,60,20,73.450674027635,43.4804684061139,1
10,40,40,14,78.5449548202651,43.4699033697243,1
10,20,20,18,79.6028436675369,43.4433364741585,1
20,30,30,8,77.9604375020947,43.4391191272357,1
30,60,60,10,81.4417067598959,43.3503831333683,1
10,20,20,10,74.3250274004147,43.3474869352494,1
20,60,60,12,75.39169035794,43.3121706547602,1
10,30,30,6,81.1709656590278,43.3066733393948,1
20,60,60,16,76.5409237288041,43.3038610965185,1
5,10,10,20,76.6574678918892,43.2046445321245,1
10,30,30,12,77.9346257370352,43.1883574125482,1
30,100,100,14,80.2830958161301,43.14897039426,1
10,20,20,8,82.1147154045497,43.1425202631854,1
20,60,60,18,80.7217728116482,43.1064070123422,1
20,40,40,24,80.1180244284033,43.0819894739897,1
20,40,40,10,87.736906410094,43.0575762326022,1
30,100,100,12,87.6435181308094,42.9898824358372,1
10,20,20,14,75.6870209834585,42.9608902643076,1
30,60,60,16,86.5030637123158,42.9477174226553,1
30,60,60,12,84.7791193134137,42.9380678644452,1
20,30,30,16,85.3032687534315,42.9346418873718,1
20,60,60,24,81.150342876011,42.9303040330037,1
30,100,100,22,90.9312891071485,42.9007878186604,1
20,40,40,22,82.9216301356939,42.8588227749826,1
20,60,60,10,94.9639554529212,42.8445443363133,1
20,30,30,18,85.8026915479569,42.8335689707258,1
20,40,40,16,73.8420901005853,42.8176527653989,1
30,60,60,24,81.5940983294295,42.8151917886646,1
5,10,10,14,88.5772556453764,42.7794505363328,1
10,30,30,20,79.6509105260325,42.7711645267441,1
20,30,30,24,85.7893743487966,42.7711010342901,1
20,30,30,20,89.2747245595122,42.6886660573779,1
5,10,10,24,80.2474996933017,42.6550943730644,1
10,20,20,12,74.911373638288,42.6369027493487,1
20,30,30,14,93.4279280302104,42.6302609112162,1
30,60,60,14,73.1670609486673,42.6207539999859,1
10,30,30,16,72.8937410314428,42.6087206139321,1
30,60,60,20,84.2772698285322,42.5921799359348,1
10,30,30,8,86.3131379123848,42.5273016814065,1
30,100,100,24,80.4374862651542,42.4903913926809,1
10,40,40,20,83.1292595900446,42.4896962728651,1
30,60,60,18,88.8421893056151,42.4861783191356,1
10,20,20,22,81.8828785502647,42.4552603653338,1
20,40,40,20,92.1707677041799,42.3245489700451,1
10,30,30,18,73.4672161222751,42.323484890913,1
20,40,40,18,93.0183494075253,42.2804657748008,1
10,40,40,12,84.921119358102,42.2765218982892,1
30,100,100,20,90.0144433657593,42.1631740764987,1
10,40,40,16,83.5348594223941,42.1590728725049,1
20,30,30,22,77.1893196689164,42.0913088511768,1
10,40,40,24,87.5677946274767,41.999531785145,1
5,10,10,12,79.9055284110902,41.9665486645862,1
10,40,40,22,87.582378317461,41.9409486068596,1
10,30,30,14,84.1629012373244,41.9360223615141,1
10,30,30,24,87.0125784138096,41.8811480210457,1
10,30,30,10,77.176347283844,41.8793977674007,1
20,30,30,12,76.6717217615023,41.8756548818996,1
10,40,40,18,87.883994897552,41.7460410648576,1
20,60,60,14,82.8535409903476,41.7144616238327,1
10,20,20,24,76.2128089474993,41.4908607995016,1
30,100,100,16,75.4802687621769,40.6213973674863,1
10,30,30,22,90.7655507153843,40.0963189695914,1
30,60,60,22,85.4096589025841,37.8799010700972,1
30,100,100,18,72.3384725527066,37.5473528313082,1
10,20,20,20,85.5419473950295,32.0163273143675,1
5,10,10,16,84.4664906074498,19.1293989596448,1
20,30,30,10,75.6433857871417,-27.8665520503838,1
