I1_A,I2_A,z_mm,a_H2O
0.0162,2,12.7593827654266,0.125475660797885
0.0162,3,21.6952138255851,0.125846651937096
0.0162,4,30.9866991480893,0.126177625308704
0.0162,5,40.376684365582,0.126458709579887
0.0162,6,51.1424448273294,0.126711362355933
0.0162,7,66.9300281457758,0.126946629551818
0.0162,8,104.607186228907,0.126999245954725
1,2,29.9325542181261,0.131634830383713
1,3,44.1810316599521,0.136585143019703
1,4,56.497484493438,0.141176540772832
1,5,67.8644259022498,0.14555124721176
1,6,80.8210455481421,0.150624888448854
1,7,101.103407505226,0.15865077261121
1,8,140.050744783443,0.17408313780743
2,3,66.3454491174893,0.15072700126807
2,4,78.5585815033455,0.157964920500331
2,5,89.1991395055633,0.164453830793561
2,6,101.995456529232,0.172456838270902
2,7,123.822122115046,0.186515607553855
2,8,155.988942232204,0.208189735907178
3,4,91.9672264028394,0.169482618791541
3,5,101.763637466171,0.177197319291402
3,6,115.256090888107,0.188352162313377
3,7,139.399706023763,0.209855551935357
3,8,166.291040888895,0.236475251187479
4,5,112.156950320822,0.188618909617741
4,6,128.323442642802,0.205830646129382
4,7,156.558873724246,0.240058729046761
4,8,175.784552295255,0.266867263074587
5,6,147.309640691269,0.234572644456532
5,7,175.372410979282,0.280437943116957
5,8,183.832831997991,0.295809713264137
6,7,188.703322219022,0.314902478251106
6,8,188.261975274736,0.31389483025269
7,8,188.075639249081,0.313113446760251
